Bujur,Lintang,FAA,Elevation_m,UTM_X,UTM_Y
123.1799629,0.001285,-146.24,-2687.0298,520025.3981821456,10000142.031814585
123.3917595,0.002788,-146.23,-3460.631,543593.3657800534,10000308.16502064
123.179255,0.00128,-146.21,-2682.9316,519946.6262462528,10000141.479156094
123.3924558,0.0027811,-146.19,-3465.2595,543670.8483635994,10000307.402371114
123.1785471,0.0012753,-146.18,-2678.8613,519867.8543134226,10000140.959656842
123.393152,0.0027748,-146.15,-3470.0518,543748.3198258572,10000306.7060411
123.177839,0.0012709,-146.14,-2674.795,519789.0601285429,10000140.473316826
123.1771308,0.0012669,-146.11,-2670.7485,519710.2548191532,10000140.0311891
123.393848,0.0027691,-146.11,-3474.8545,543825.7690390748,10000306.076030612
123.1764224,0.0012633,-146.08,-2666.7205,519631.4272576935,10000139.633273656
123.3945437,0.002764,-146.07,-3479.76,543903.1848754936,10000305.512339665
123.175714,0.0012599,-146.05,-2662.7,519552.5996992504,10000139.25746438
123.3952392,0.0027598,-146.04,-3484.7534,543980.578462874,10000305.048128083
123.1750056,0.001257,-146.01,-2658.7156,519473.7721438152,10000138.936920436
123.3959344,0.0027565,-146.0,-3489.7778,544057.9386734527,10000304.68339589
123.1742973,0.0012546,-145.98,-2654.7334,519394.955718921,10000138.67164182
123.3966294,0.002754,-145.96,-3494.9883,544135.2766350036,10000304.407089844
123.173589,0.0012525,-145.95,-2650.791,519316.1392970084,10000138.43952241
123.3973244,0.0027523,-145.92,-3500.2002,544212.6146030632,10000304.219209973
123.1728808,0.0012506,-145.91,-2646.8586,519237.3340056103,10000138.22950915
123.1721728,0.0012489,-145.88,-2642.9517,519158.5509722656,10000138.041602042
123.3980194,0.0027516,-145.88,-3505.6104,544289.9525776355,10000304.141862849
123.1714649,0.0012475,-145.85,-2639.0742,519079.7790694128,10000137.886854129
123.3987143,0.0027517,-145.85,-3511.088,544367.279430972,10000304.15294194
123.1707571,0.0012465,-145.81,-2635.204,519001.0182970322,10000137.776318468
123.3994093,0.0027525,-145.81,-3516.6948,544444.6174186211,10000304.241394011
123.1700494,0.0012455,-145.78,-2631.3845,518922.2686551162,10000137.665782835
123.4001044,0.0027537,-145.77,-3522.5413,544521.9665406083,10000304.374059249
123.1693418,0.0012448,-145.74,-2627.5662,518843.5301436493,10000137.588406395
123.4007994,0.0027553,-145.73,-3528.3875,544599.3045414074,10000304.550937658
123.1686344,0.0012442,-145.71,-2623.8047,518764.8138901672,10000137.522083033
123.4014944,0.0027574,-145.69,-3534.7073,544676.6425487943,10000304.78308253
123.167927,0.0012436,-145.67,-2620.061,518686.0976395646,10000137.4557597
123.4021896,0.00276,-145.65,-3541.054,544754.0028183245,10000305.07049389
123.1672198,0.0012433,-145.64,-2616.3616,518607.4036469123,10000137.422595548
123.4028847,0.0027632,-145.61,-3547.6045,544831.3519666921,10000305.42422502
123.1665125,0.0012431,-145.6,-2612.7263,518528.6985295698,10000137.40048447
123.1658053,0.0012429,-145.57,-2609.0947,518450.0045426158,10000137.378373416
123.4035798,0.002767,-145.57,-3554.3208,544908.7011216796,10000305.844275938
123.1650981,0.0012426,-145.53,-2605.54,518371.31055849226,10000137.345209334
123.4042749,0.0027714,-145.53,-3561.0796,544986.050283301,10000306.330646664
123.1643909,0.0012418,-145.5,-2601.9844,518292.6165771899,10000137.256780025
123.4049701,0.0027763,-145.49,-3568.0667,545063.4105793417,10000306.872283936
123.1636837,0.0012406,-145.46,-2598.476,518213.9225986958,10000137.12413854
123.4056651,0.0027817,-145.45,-3575.0525,545140.7486264852,10000307.469187755
123.1629765,0.0012389,-145.43,-2594.9888,518135.22862299584,10000136.93623184
123.4063601,0.0027874,-145.41,-3582.192,545218.0866803087,10000308.09925158
123.1622694,0.0012367,-145.39,-2591.5217,518056.5457776245,10000136.693059929
123.4070549,0.0027931,-145.38,-3589.3777,545295.402485269,10000308.72931555
123.1615623,0.001234,-145.35,-2588.097,517977.86293502495,10000136.394622808
