lon,lat,faa_topex
121.825,-0.0582,22.3
121.8417,-0.0582,22.7
121.8583,-0.0582,22.8
121.875,-0.0582,23.8
121.8917,-0.0582,26
121.9083,-0.0582,28.6
121.925,-0.0582,30
121.9417,-0.0582,31.1
121.9583,-0.0582,33
121.975,-0.0582,35.8
121.9917,-0.0582,38.4
122.0083,-0.0582,39.9
122.025,-0.0582,40.4
122.0417,-0.0582,40.3
122.0583,-0.0582,40.6
122.075,-0.0582,41.1
122.0917,-0.0582,41.2
122.1083,-0.0582,40.5
122.125,-0.0582,39
122.1417,-0.0582,36.7
122.1583,-0.0582,33.5
122.175,-0.0582,28.9
122.1917,-0.0582,22.5
122.2083,-0.0582,14.9
122.225,-0.0582,7.4
122.2417,-0.0582,1.4
122.2583,-0.0582,-2.3
122.275,-0.0582,-4.4
122.2917,-0.0582,-6.3
122.3083,-0.0582,-9.5
122.325,-0.0582,-14.1
122.3417,-0.0582,-20
122.3583,-0.0582,-26.1
122.375,-0.0582,-32.2
122.3917,-0.0582,-38.1
122.4083,-0.0582,-43
122.425,-0.0582,-47
122.4417,-0.0582,-50.9
122.4583,-0.0582,-54.8
122.475,-0.0582,-58.4
122.4917,-0.0582,-61.8
122.5083,-0.0582,-66.1
122.525,-0.0582,-71.4
122.5417,-0.0582,-76.7
122.5583,-0.0582,-81
122.575,-0.0582,-84.7
122.5917,-0.0582,-88.7
122.6083,-0.0582,-92.7
122.625,-0.0582,-96.2
122.6417,-0.0582,-98.8
122.6583,-0.0582,-100.5
122.675,-0.0582,-101.8
122.6917,-0.0582,-103
122.7083,-0.0582,-104.1
122.725,-0.0582,-104.8
122.7417,-0.0582,-105
122.7583,-0.0582,-105.1
122.775,-0.0582,-105.6
122.7917,-0.0582,-106.8
122.8083,-0.0582,-108.3
122.825,-0.0582,-109.8
122.8417,-0.0582,-111.8
122.8583,-0.0582,-114.6
122.875,-0.0582,-117.7
122.8917,-0.0582,-120.6
122.9083,-0.0582,-122.8
122.925,-0.0582,-124.3
122.9417,-0.0582,-125.7
122.9583,-0.0582,-127.1
122.975,-0.0582,-128.5
122.9917,-0.0582,-130
123.0083,-0.0582,-131.7
123.025,-0.0582,-133.8
123.0417,-0.0582,-136.5
123.0583,-0.0582,-139.3
123.075,-0.0582,-141.8
123.0917,-0.0582,-143.9
123.1083,-0.0582,-146.7
123.125,-0.0582,-150.7
123.1417,-0.0582,-155.3
123.1583,-0.0582,-159.3
123.175,-0.0582,-162.4
123.1917,-0.0582,-164.6
123.2083,-0.0582,-166
123.225,-0.0582,-166.7
123.2417,-0.0582,-166.7
123.2583,-0.0582,-166.2
123.275,-0.0582,-165.2
123.2917,-0.0582,-163.9
